"","Date","Total","Anger","Trust"
"1",2020-03-01,189,0.0634920634920635,0.0476190476190476
"2",2020-03-02,272,0.0551470588235294,0.0330882352941176
"3",2020-03-03,280,0.0357142857142857,0.0392857142857143
"4",2020-03-04,288,0.0277777777777778,0.0347222222222222
"5",2020-03-05,413,0.0411622276029056,0.0217917675544794
"6",2020-03-06,981,0.0621814475025484,0.0285423037716616
"7",2020-03-07,631,0.0412044374009509,0.0538827258320127
"8",2020-03-08,508,0.0570866141732283,0.0354330708661417
"9",2020-03-09,697,0.0401721664275466,0.0416068866571019
"10",2020-03-10,1457,0.0432395332875772,0.0377487989018531
"11",2020-03-11,2740,0.0711678832116788,0.0492700729927007
"12",2020-03-12,2730,0.0692307692307692,0.0461538461538462
"13",2020-03-13,2870,0.0487804878048781,0.0533101045296167
"14",2020-03-14,2622,0.0545385202135774,0.0472921434019832
"15",2020-03-15,2712,0.0567846607669617,0.0685840707964602
"16",2020-03-16,2427,0.0548001648125258,0.0436753193242686
"17",2020-03-17,2956,0.0446549391069012,0.0686738836265223
"18",2020-03-18,2273,0.0387153541575011,0.0523537175538935
"19",2020-03-19,2108,0.0327324478178368,0.0640417457305503
"20",2020-03-20,2038,0.049558390578999,0.0642787046123651
"21",2020-03-21,1628,0.0479115479115479,0.0577395577395577
"22",2020-03-22,1683,0.0493166963755199,0.0552584670231729
"23",2020-03-23,2040,0.0387254901960784,0.0632352941176471
"24",2020-03-24,1946,0.039054470709147,0.0539568345323741
"25",2020-03-25,1811,0.0342352291551629,0.0485919381557151
"26",2020-03-26,1880,0.0313829787234043,0.0441489361702128
"27",2020-03-27,1804,0.0399113082039911,0.0637472283813747
"28",2020-03-28,1346,0.0386329866270431,0.0676077265973254
"29",2020-03-29,1212,0.0437293729372937,0.0536303630363036
"30",2020-03-30,1846,0.0411700975081257,0.0557963163596966
"31",2020-03-31,1609,0.0366687383467993,0.0546923555003107
"32",2020-04-01,1455,0.0274914089347079,0.0556701030927835
"33",2020-04-02,1512,0.037037037037037,0.0674603174603175
"34",2020-04-03,1372,0.0276967930029155,0.0641399416909621
"35",2020-04-04,1077,0.0436397400185701,0.0492107706592386
"36",2020-04-05,963,0.0321910695742471,0.0529595015576324
"37",2020-04-06,1970,0.0401015228426396,0.0421319796954315
"38",2020-04-07,1730,0.0398843930635838,0.0595375722543353
"39",2020-04-08,1400,0.0307142857142857,0.0628571428571429
"40",2020-04-09,904,0.040929203539823,0.0553097345132743
"41",2020-04-10,837,0.038231780167264,0.0609318996415771
"42",2020-04-11,807,0.0359355638166047,0.0669144981412639
"43",2020-04-12,773,0.0310478654592497,0.0569210866752911
